# Monthly births in Canada; 1921-2002,,
# Source: Taken from: 'Vital Statistics' Dominion Bureau of Statistics. 1921 - 1966; 1967-69 from Table B15 Live Births by Month; Canada and Provinces,,
# Source: 1973-77; TABLE 15. Live Births by Month; Canada and Provinces; 1978; Table 8 Live Births by Month; Canada and Provinces; 1979-892; Table 3 Live Births by Month; Canada and Provinces,,
# Source: 1993-95; Table 2.2 Live Births by Month; Canada; Provinces and Territories; 1996-99; Table 1.2 Live Births by Month; Canada; Provinces and Territories,,
# Source: 2000-02; Table 102-4502 - Live births by month; Canada; Provinces and Territories from Statistics Canada; Canadian Vital Statistics; Birth Database (http://estat.statcan.ca/),,
year,month,ON
1921,1,5977
1921,2,5694
1921,3,6769
1921,4,6603
1921,5,6773
1921,6,6190
1921,7,6341
1921,8,6330
1921,9,6185
1921,10,5909
1921,11,5577
1921,12,5804
1922,1,6070
1922,2,5595
1922,3,6555
1922,4,5767
1922,5,6221
1922,6,6128
1922,7,6266
1922,8,6306
1922,9,5973
1922,10,5702
1922,11,5407
1922,12,5440
1923,1,5636
1923,2,5648
1923,3,6396
1923,4,6105
1923,5,6218
1923,6,6030
1923,7,6141
1923,8,6112
1923,9,5941
1923,10,5470
1923,11,5134
1923,12,5225
1924,1,5778
1924,2,5741
1924,3,6445
1924,4,6232
1924,5,6308
1924,6,6286
1924,7,6178
1924,8,6060
1924,9,5931
1924,10,5669
1924,11,5436
1924,12,5446
1925,1,5599
1925,2,5404
1925,3,6514
1925,4,6135
1925,5,6466
1925,6,6018
1925,7,6236
1925,8,6113
1925,9,5645
1925,10,5536
1925,11,5101
1925,12,5355
1926,1,5552
1926,2,5232
1926,3,6062
1926,4,5995
1926,5,6248
1926,6,5788
1926,7,5847
1926,8,5740
1926,9,5611
1926,10,5538
1926,11,4946
1926,12,5058
1927,1,5120
1927,2,5087
1927,3,6124
1927,4,6024
1927,5,5926
1927,6,5896
1927,7,6124
1927,8,5777
1927,9,5656
1927,10,5441
1927,11,5128
1927,12,5368
1928,1,5608
1928,2,5508
1928,3,6070
1928,4,5734
1928,5,6144
1928,6,5989
1928,7,5936
1928,8,5921
1928,9,5644
1928,10,5495
1928,11,5101
1928,12,5360
1929,1,5510
1929,2,5202
1929,3,5980
1929,4,5865
1929,5,6146
1929,6,5928
1929,7,6143
1929,8,5966
1929,9,5315
1929,10,5316
1929,11,5374
1929,12,5713
1930,1,5799
1930,2,5561
1930,3,6448
1930,4,6202
1930,5,6470
1930,6,6239
1930,7,6272
1930,8,6068
1930,9,5836
1930,10,5659
1930,11,5252
1930,12,5457
1931,1,5723
1931,2,5282
1931,3,6314
1931,4,6114
1931,5,6283
1931,6,5971
1931,7,6098
1931,8,5821
1931,9,5687
1931,10,5520
1931,11,5095
1931,12,5301
1932,1,5617
1932,2,5471
1932,3,6082
1932,4,5372
1932,5,5760
1932,6,5629
1932,7,5805
1932,8,5932
1932,9,5574
1932,10,5499
1932,11,4927
1932,12,5174
1933,1,5231
1933,2,5127
1933,3,5794
1933,4,5780
1933,5,5729
1933,6,5398
1933,7,5510
1933,8,5338
1933,9,5041
1933,10,4898
1933,11,4823
1933,12,4977
1934,1,5089
1934,2,4928
1934,3,5497
1934,4,5119
1934,5,5434
1934,6,5430
1934,7,5479
1934,8,5344
1934,9,5250
1934,10,5084
1934,11,4698
1934,12,4882
1935,1,5091
1935,2,4877
1935,3,5455
1935,4,5469
1935,5,5840
1935,6,5397
1935,7,5591
1935,8,5339
1935,9,5337
1935,10,5046
1935,11,4707
1935,12,4920
1936,1,5102
1936,2,5099
1936,3,5621
1936,4,5233
1936,5,5540
1936,6,5372
1936,7,5660
1936,8,5241
1936,9,5149
1936,10,5015
1936,11,4568
1936,12,4851
1937,1,4931
1937,2,4705
1937,3,5471
1937,4,5156
1937,5,5585
1937,6,5436
1937,7,5429
1937,8,5254
1937,9,5338
1937,10,4888
1937,11,4667
1937,12,4785
1938,1,5225
1938,2,5010
1938,3,5761
1938,4,5554
1938,5,5802
1938,6,5569
1938,7,5823
1938,8,5539
1938,9,5686
1938,10,5348
1938,11,5082
1938,12,5165
1939,1,5331
1939,2,4919
1939,3,5911
1939,4,5452
1939,5,5698
1939,6,5495
1939,7,5766
1939,8,5515
1939,9,5320
1939,10,5185
1939,11,4645
1939,12,4886
1940,1,5131
1940,2,5209
1940,3,5972
1940,4,5729
1940,5,5928
1940,6,6017
1940,7,6355
1940,8,5990
1940,9,5740
1940,10,5564
1940,11,5391
1940,12,5498
1941,1,5475
1941,2,5425
1941,3,6289
1941,4,6236
1941,5,6329
1941,6,6575
1941,7,6633
1941,8,6155
1941,9,6025
1941,10,5825
1941,11,5491
1941,12,5804
1942,1,6091
1942,2,5858
1942,3,6736
1942,4,6698
1942,5,6739
1942,6,6564
1942,7,6932
1942,8,6767
1942,9,6665
1942,10,6568
1942,11,6240
1942,12,6334
1943,1,6682
1943,2,6324
1943,3,7210
1943,4,7073
1943,5,7213
1943,6,7222
1943,7,7255
1943,8,6836
1943,9,6832
1943,10,6450
1943,11,5948
1943,12,6128
1944,1,6279
1944,2,6129
1944,3,6945
1944,4,6608
1944,5,7059
1944,6,7005
1944,7,6853
1944,8,6347
1944,9,6166
1944,10,6305
1944,11,5991
1944,12,6403
1945,1,6505
1945,2,5865
1945,3,6836
1945,4,6697
1945,5,6840
1945,6,6847
1945,7,7019
1945,8,6462
1945,9,6668
1945,10,6557
1945,11,6217
1945,12,6461
1946,1,6538
1946,2,6286
1946,3,7433
1946,4,7731
1946,5,8586
1946,6,8575
1946,7,8820
1946,8,8560
1946,9,8900
1946,10,8775
1946,11,8446
1946,12,8796
1947,1,9134
1947,2,8454
1947,3,9632
1947,4,9194
1947,5,9863
1947,6,9838
1947,7,9549
1947,8,9171
1947,9,9069
1947,10,8608
1947,11,8099
1947,12,8242
1948,1,8183
1948,2,8237
1948,3,9123
1948,4,8949
1948,5,8759
1948,6,8652
1948,7,9154
1948,8,9034
1948,9,8842
1948,10,8601
1948,11,8156
1948,12,8505
1949,1,8353
1949,2,8108
1949,3,9441
1949,4,8905
1949,5,9615
1949,6,8995
1949,7,9575
1949,8,9124
1949,9,8931
1949,10,8974
1949,11,8343
1949,12,8237
1950,1,8708
1950,2,8114
1950,3,8996
1950,4,8751
1950,5,9415
1950,6,9553
1950,7,9837
1950,8,9299
1950,9,9523
1950,10,9058
1950,11,8544
1950,12,8910
1951,1,8882
1951,2,8643
1951,3,10004
1951,4,9699
1951,5,10342
1951,6,10080
1951,7,10135
1951,8,9869
1951,9,9983
1951,10,9653
1951,11,8592
1951,12,8945
1952,1,9425
1952,2,9569
1952,3,10751
1952,4,10295
1952,5,10770
1952,6,10837
1952,7,10837
1952,8,10676
1952,9,10559
1952,10,10223
1952,11,9750
1952,12,10199
1953,1,10360
1953,2,9704
1953,3,10980
1953,4,10442
1953,5,11121
1953,6,11039
1953,7,11396
1953,8,11253
1953,9,11380
1953,10,11003
1953,11,10380
1953,12,10713
1954,1,10815
1954,2,10267
1954,3,11606
1954,4,11286
1954,5,11646
1954,6,11424
1954,7,11972
1954,8,11676
1954,9,11878
1954,10,11484
1954,11,10993
1954,12,11214
1955,1,11284
1955,2,10508
1955,3,12159
1955,4,12058
1955,5,12472
1955,6,11631
1955,7,12009
1955,8,11596
1955,9,11947
1955,10,11582
1955,11,10868
1955,12,11440
1956,1,11445
1956,2,11251
1956,3,12114
1956,4,11326
1956,5,11796
1956,6,12289
1956,7,12825
1956,8,12592
1956,9,12450
1956,10,12318
1956,11,11215
1956,12,11895
1957,1,12006
1957,2,11119
1957,3,12681
1957,4,12644
1957,5,13325
1957,6,12979
1957,7,13106
1957,8,12491
1957,9,13096
1957,10,13073
1957,11,12056
1957,12,12344
1958,1,12489
1958,2,11491
1958,3,12903
1958,4,12717
1958,5,13536
1958,6,12760
1958,7,12863
1958,8,12518
1958,9,13265
1958,10,13027
1958,11,12344
1958,12,12724
1959,1,13032
1959,2,11977
1959,3,13750
1959,4,13117
1959,5,13566
1959,6,13199
1959,7,13600
1959,8,13405
1959,9,13432
1959,10,13094
1959,11,12356
1959,12,12596
1960,1,12550
1960,2,12340
1960,3,13430
1960,4,13327
1960,5,13370
1960,6,12992
1960,7,14031
1960,8,13780
1960,9,13996
1960,10,13475
1960,11,12939
1960,12,13015
1961,1,12892
1961,2,12078
1961,3,13876
1961,4,13398
1961,5,13791
1961,6,13216
1961,7,13700
1961,8,13312
1961,9,13232
1961,10,13120
1961,11,12214
1961,12,12834
1962,1,12522
1962,2,11792
1962,3,13663
1962,4,12985
1962,5,13152
1962,6,12693
1962,7,13529
1962,8,13507
1962,9,13656
1962,10,13333
1962,11,12579
1962,12,12642
1963,1,12550
1963,2,11686
1963,3,13354
1963,4,13115
1963,5,13843
1963,6,13035
1963,7,13514
1963,8,13190
1963,9,13447
1963,10,13136
1963,11,11962
1963,12,12257
1964,1,12232
1964,2,12149
1964,3,13081
1964,4,12679
1964,5,13379
1964,6,13253
1964,7,13389
1964,8,12614
1964,9,13098
1964,10,12784
1964,11,11861
1964,12,12210
1965,1,11825
1965,2,10965
1965,3,12539
1965,4,11834
1965,5,12483
1965,6,12273
1965,7,12512
1965,8,11991
1965,9,12047
1965,10,11482
1965,11,10817
1965,12,10842
1966,1,10527
1966,2,10070
1966,3,11489
1966,4,11457
1966,5,11859
1966,6,11118
1966,7,11086
1966,8,11150
1966,9,11190
1966,10,10931
1966,11,10711
1966,12,10354
1967,1,10109
1967,2,9643
1967,3,10843
1967,4,10701
1967,5,11462
1967,6,11153
1967,7,10983
1967,8,10894
1967,9,10638
1967,10,10486
1967,11,10279
1967,12,10318
1968,1,10202
1968,2,9542
1968,3,10816
1968,4,10590
1968,5,11045
1968,6,10830
1968,7,11063
1968,8,10598
1968,9,10503
1968,10,10612
1968,11,10082
1968,12,10374
1969,1,10438
1969,2,9671
1969,3,11032
1969,4,10746
1969,5,11309
1969,6,11079
1969,7,11494
1969,8,11022
1969,9,11154
1969,10,11162
1969,11,10397
1969,12,10894
1970,1,10535
1970,2,9868
1970,3,11588
1970,4,11274
1970,5,11573
1970,6,11413
1970,7,11795
1970,8,11084
1970,9,11678
1970,10,11182
1970,11,11080
1970,12,11654
1971,1,11202
1971,2,10377
1971,3,11561
1971,4,11365
1971,5,11097
1971,6,11061
1971,7,10891
1971,8,10775
1971,9,10870
1971,10,10560
1971,11,10137
1971,12,10499
1972,1,10356
1972,2,9721
1972,3,10727
1972,4,10544
1972,5,10986
1972,6,10188
1972,7,10485
1972,8,10485
1972,9,10680
1972,10,10304
1972,11,10203
1972,12,10381
1973,1,9998
1973,2,9482
1973,3,10792
1973,4,10256
1973,5,10704
1973,6,10583
1973,7,11028
1973,8,10605
1973,9,10304
1973,10,10213
1973,11,9705
1973,12,10106
1974,1,9945
1974,2,9294
1974,3,10225
1974,4,10415
1974,5,10504
1974,6,9778
1974,7,10950
1974,8,10727
1974,9,10884
1974,10,11047
1974,11,10183
1974,12,10277
1975,1,10100
1975,2,9649
1975,3,11048
1975,4,10734
1975,5,11092
1975,6,10567
1975,7,11053
1975,8,10466
1975,9,10626
1975,10,10402
1975,11,9802
1975,12,10236
1976,1,9928
1976,2,9649
1976,3,10390
1976,4,9932
1976,5,10516
1976,6,10663
1976,7,10615
1976,8,10417
1976,9,10700
1976,10,10238
1976,11,9609
1976,12,10041
1977,1,9860
1977,2,9274
1977,3,10476
1977,4,10202
1977,5,10602
1977,6,10265
1977,7,10729
1977,8,10522
1977,9,10442
1977,10,10646
1977,11,9827
1977,12,9912
1978,1,9504
1978,2,9077
1978,3,10477
1978,4,9970
1978,5,10602
1978,6,10131
1978,7,10425
1978,8,10429
1978,9,10161
1978,10,10155
1978,11,9964
1978,12,10069
1979,1,9824
1979,2,9165
1979,3,10584
1979,4,10160
1979,5,10619
1979,6,10164
1979,7,10843
1979,8,10367
1979,9,10297
1979,10,10201
1979,11,9654
1979,12,9777
1980,1,9695
1980,2,9532
1980,3,10432
1980,4,10247
1980,5,10576
1980,6,10333
1980,7,10782
1980,8,10484
1980,9,10890
1980,10,10543
1980,11,9761
1980,12,10041
1981,1,9391
1981,2,9213
1981,3,10639
