# Weekly cases of measles in Ontario; Canada; 1939-89,,,,
# Missing data for 1970,,,,
# data taken from file cdi_ca_on__1939-89_wk.xls,,,,
year,month,day,numdate,cases
1939,1,7,1939.019178,670
1939,1,14,1939.038356,850
1939,1,21,1939.057534,932
1939,1,28,1939.076712,933
1939,2,4,1939.09589,1335
1939,2,11,1939.115068,1033
1939,2,18,1939.134247,1161
1939,2,25,1939.153425,999
1939,3,4,1939.172603,1131
1939,3,11,1939.191781,845
1939,3,18,1939.210959,969
1939,3,25,1939.230137,879
1939,4,1,1939.249315,950
1939,4,8,1939.268493,790
1939,4,15,1939.287671,745
1939,4,22,1939.306849,845
1939,4,29,1939.326027,746
1939,5,6,1939.345205,877
1939,5,13,1939.364384,726
1939,5,20,1939.383562,760
1939,5,27,1939.40274,904
1939,6,3,1939.421918,936
1939,6,10,1939.441096,1229
1939,6,17,1939.460274,720
1939,6,24,1939.479452,795
1939,7,1,1939.49863,582
1939,7,8,1939.517808,609
1939,7,15,1939.536986,418
1939,7,22,1939.556164,252
1939,7,29,1939.575342,145
1939,8,5,1939.594521,128
1939,8,12,1939.613699,136
1939,8,19,1939.632877,82
1939,8,26,1939.652055,62
1939,9,2,1939.671233,16
1939,9,9,1939.690411,33
1939,9,16,1939.709589,43
1939,9,23,1939.728767,17
1939,9,30,1939.747945,20
1939,10,7,1939.767123,31
1939,10,14,1939.786301,124
1939,10,21,1939.805479,86
1939,10,28,1939.824658,140
1939,11,4,1939.843836,110
1939,11,11,1939.863014,251
1939,11,18,1939.882192,228
1939,11,25,1939.90137,270
1939,12,2,1939.920548,296
1939,12,9,1939.939726,279
1939,12,16,1939.958904,311
1939,12,23,1939.978082,103
1939,12,30,1939.99726,295
1940,1,6,1940.016438,415
1940,1,13,1940.035616,371
1940,1,20,1940.054795,328
1940,1,27,1940.073973,494
1940,2,3,1940.093151,341
1940,2,10,1940.112329,533
1940,2,17,1940.131507,461
1940,2,24,1940.150685,714
1940,3,2,1940.169863,660
1940,3,9,1940.189041,820
1940,3,16,1940.208219,1313
1940,3,23,1940.227397,373
1940,3,30,1940.246575,618
1940,4,6,1940.265753,588
1940,4,13,1940.284932,361
1940,4,20,1940.30411,500
1940,4,27,1940.323288,334
1940,5,4,1940.342466,343
1940,5,11,1940.361644,475
1940,5,18,1940.380822,299
1940,5,25,1940.4,378
1940,6,1,1940.419178,317
1940,6,8,1940.438356,289
1940,6,15,1940.457534,131
1940,6,22,1940.476712,220
1940,6,29,1940.49589,187
1940,7,6,1940.515068,116
1940,7,13,1940.534247,198
1940,7,20,1940.553425,86
1940,7,27,1940.572603,166
1940,8,3,1940.591781,98
1940,8,10,1940.610959,68
1940,8,17,1940.630137,89
1940,8,24,1940.649315,71
1940,8,31,1940.668493,65
1940,9,7,1940.687671,97
1940,9,14,1940.706849,32
1940,9,21,1940.726027,70
1940,9,28,1940.745205,93
1940,10,5,1940.764384,153
1940,10,12,1940.783562,87
1940,10,19,1940.80274,89
1940,10,26,1940.821918,111
1940,11,2,1940.841096,222
1940,11,9,1940.860274,170
1940,11,16,1940.879452,336
1940,11,23,1940.89863,246
1940,11,30,1940.917808,349
1940,12,7,1940.936986,254
1940,12,14,1940.956164,397
1940,12,21,1940.975342,262
